GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
2572012,MSRG039W,48,member,2000,SUCCESS,1,EMI,UPI,2022-11-30,2572012T1669831762582,,2022-11-30,2022-11-30,,SIPLY,no,
2571996,MSRP025W,80,member,1000,SUCCESS,1,EMI,UPI,2022-11-30,2571996T1669830963046,,2022-11-30,2022-11-30,,SIPLY,no,
306821,HYB004W,91,member,4000,SUCCESS,15,EMI,UPI,2022-11-30,306821M1669830752713,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
306821,HYB004W,91,member,4000,SUCCESS,16,EMI,UPI,2022-11-30,306821M1669830752713,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
939319,MPB008T,2,member,4000,SUCCESS,7,EMI,UPI,2022-11-30,939319M1669829883697,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
610852,MPG019W,62,member,2000,SUCCESS,11,EMI,UPI,2022-11-30,610852M1669829773844,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
1383948,MPG027W,69,member,2000,SUCCESS,6,EMI,UPI,2022-11-30,1383948M1669829546756,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
2065995,MSRP014W,82,member,1000,SUCCESS,3,EMI,UPI,2022-11-30,2065995M1669829507718,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
35395,HYB002W,65,member,4000,SUCCESS,22,EMI,UPI,2022-11-30,35395M1669829145265,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
957860,MPD007B,22,member,10000,SUCCESS,8,EMI,UPI,2022-11-30,957860M1669829072043,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
2218722,MSRP017W,49,member,1000,SUCCESS,2,EMI,UPI,2022-11-30,2218722M1669828976959,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
2571907,MSRB016W,61,member,4000,SUCCESS,1,EMI,UPI,2022-11-30,2571907T1669828791041,,2022-11-30,2022-11-30,,SIPLY,no,
20889,HYG003W,81,member,2000,SUCCESS,23,EMI,UPI,2022-11-30,20889M1669828296972,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
770654,MPG023W,67,member,2000,SUCCESS,10,EMI,UPI,2022-11-30,770654M1669828276047,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
20861,HYB001W,70,member,4000,SUCCESS,23,EMI,UPI,2022-11-30,20861M1669828255782,2.33E+11,2022-11-30,2022-11-30,,CASHFREE,no,
