AMOUNT,CHITS_GROUP_ID,CUSTOMER_ID,STR,PAYMENT_DATE_TIME,PAYMENT_DATE,TXN_DATE_TIME,TXN_DATE,USER_GOAL_ID,UTR_NO,VENDOR_TXN_ID,PAYMENT_MODE
1000,1498133,1520084,C60278101667241751269,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1520164,29903282521,1520164T1667241851797,UPI
1000,2341212,2376741,C60584421667242558956,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2376791,29903282521,2376791T1667242679942,UPI
1000,2341212,2376786,C61209741667242690347,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2376795,29903282521,2376795T1667242797742,UPI
4000,1374195,1442416,C60083571667243998736,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1442418,29903282521,1442418T1667244115384,UPI
1000,1498133,1441890,C60073241667245000717,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1502705,29903282521,1502705T1667245101344,UPI
4000,2236854,2376841,C61209851667245183749,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2376851,29903282521,2376851T1667245276505,UPI
4000,1918477,2022110,C60979211667246734817,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2022118,29903282521,2022118T1667246827353,UPI
2000,1967040,1535624,C24433761667246992722,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2034935,29903282521,2034935T1667247139377,UPI
1000,2341212,2376890,C61209921667247354876,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2376900,29903282521,2376900T1667247451863,UPI
500,647767,702589,C92401667248069754,2022-11-02,2022-11-02,2022-11-01,2022-11-01,702593,29903282521,702593T1667248152457,UPI
1000,2341212,2369503,C61203401667253842776,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2376983,29903282521,2376983T1667254066020,UPI
1000,1498133,1490713,C60208731667256253251,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1540490,29903282521,1540490T1667256348900,UPI
1000,2104010,2112321,C61059521667258366648,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2112439,29903282521,2112439T1667258487453,UPI
250,768662,954189,C58574631667260922724,2022-11-02,2022-11-02,2022-11-01,2022-11-01,954196,29903282521,954196T1667261029227,UPI
2000,961873,1062688,C59046221667262145681,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1062693,29903282521,1062693T1667262287774,UPI
2000,1736176,1872756,C60723191667264199628,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1872779,29903282521,1872779T1667264301412,UPI
2000,2341409,2229973,C61087921667264617571,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2380809,29903282521,2380809T1667264720303,UPI
2000,647505,739022,C47944481667265086788,2022-11-02,2022-11-02,2022-11-01,2022-11-01,739025,29903282521,739025T1667265177048,UPI
2000,961873,966035,C58678581667268073681,2022-11-02,2022-11-02,2022-11-01,2022-11-01,966311,29903282521,966311T1667268170921,UPI
1000,1962449,1770742,C780131667268675644,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1993667,29903282521,1993667T1667268774417,UPI
1000,2341212,2380908,C61210551667268691461,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2380912,29903282521,2380912T1667268827743,UPI
1000,1426940,1457594,C60129391667269178865,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1457596,29903282521,1457596T1667269279967,UPI
1000,1917974,1901398,C60859311667269478088,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1924561,29903282521,1924561T1667269580669,UPI
2000,961873,663962,C8781667271602192,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1001765,29903282521,1001765T1667271691865,UPI
2000,647505,663962,C8781667271652133,2022-11-02,2022-11-02,2022-11-01,2022-11-01,663968,29903282521,663968T1667271733416,UPI
1500,647769,663962,C8781667271705700,2022-11-02,2022-11-02,2022-11-01,2022-11-01,663987,29903282521,663987T1667271788239,UPI
1500,647769,663962,C8781667271747816,2022-11-02,2022-11-02,2022-11-01,2022-11-01,664030,29903282521,664030T1667271828737,UPI
1500,647769,951162,C2304541667272129327,2022-11-02,2022-11-02,2022-11-01,2022-11-01,951165,29903282521,951165T1667272260089,UPI
